Year,Month,SOI,Six month mean
1955,5,11.4,4.7
1955,6,12.8,4.9
1955,7,16.6,8.6
1955,8,13.6,8.4
1955,9,14.6,10.6
1955,10,16.7,14.3
1955,11,15.0,14.9
1955,12,7.9,14.1
1956,1,10.8,13.1
1956,2,12.1,12.9
1956,3,7.4,11.7
1956,4,8.7,10.3
1956,5,16.5,10.6
1956,6,10.0,10.9
1956,7,11.1,11.0
1956,8,10.6,10.7
1956,9,1.1,9.7
1956,10,19.9,11.5
1956,11,2.3,9.2
1956,12,8.5,8.9
1957,1,4.5,7.8
1957,2,-3.2,5.5
1957,3,-2.7,4.9
1957,4,-0.1,1.6
1957,5,-11.5,-0.8
1957,6,-1.8,-2.5
1957,7,1.4,-3.0
1957,8,-8.2,-3.8
1957,9,-9.4,-4.9
1957,10,-0.3,-5.0
1957,11,-11.0,-4.9
1957,12,-4.3,-5.3
1958,1,-17.5,-8.5
1958,2,-7.1,-8.3
1958,3,-2.2,-7.1
1958,4,1.3,-6.8
1958,5,-9.3,-6.5
1958,6,-0.4,-5.9
1958,7,3.3,-2.4
1958,8,7.5,0.0
1958,9,-3.0,-0.1
1958,10,-0.3,-0.4
1958,11,-4.6,0.4
1958,12,-7.3,-0.7
1959,1,-8.9,-2.8
1959,2,-15.0,-6.5
1959,3,7.0,-4.9
1959,4,4.3,-4.1
1959,5,4.0,-2.7
1959,6,-5.3,-2.3
1959,7,-4.0,-1.5
1959,8,-4.0,0.3
1959,9,0.5,-0.8
1959,10,4.7,-0.7
1959,11,11.2,0.5
1959,12,6.9,2.6
1960,1,0.2,3.3
1960,2,-1.7,3.6
1960,3,4.5,4.3
1960,4,7.2,4.7
1960,5,4.7,3.6
1960,6,-2.5,2.1
1960,7,4.5,2.8
1960,8,6.3,4.1
1960,9,7.6,4.6
1960,10,0.3,3.5
1960,11,6.8,3.8
1960,12,5.9,5.2
1961,1,-3.1,4.0
1961,2,5.7,3.9
1961,3,-20.5,-0.8
1961,4,7.9,0.5
1961,5,1.8,-0.4
1961,6,-2.5,-1.8
1961,7,-0.4,-1.3
1961,8,-0.3,-2.3
1961,9,1.1,1.3
1961,10,4.7,0.7
1961,11,6.8,1.6
1961,12,12.5,4.1
1962,1,16.5,6.9
1962,2,-5.2,6.1
1962,3,-3.1,5.4
1962,4,-0.8,4.5
1962,5,12.1,5.3
1962,6,5.1,4.1
1962,7,-0.4,1.3
1962,8,4.5,2.9
1962,9,5.2,4.3
1962,10,10.4,6.2
1962,11,4.2,4.8
1962,12,0.3,4.0
1963,1,8.4,5.5
1963,2,2.7,5.2
1963,3,5.5,5.3
1963,4,7.2,4.7
1963,5,2.5,4.4
1963,6,-10.2,2.7
1963,7,-2.2,0.9
1963,8,-2.8,0.0
1963,9,-5.9,-1.9
1963,10,-14.8,-5.6
1963,11,-9.1,-7.5
1963,12,-12.9,-8.0
1964,1,-4.1,-8.3
1964,2,-2.2,-8.2
1964,3,5.5,-6.3
1964,4,1.3,-3.6
1964,5,6.9,-0.9
1964,6,5.8,2.2
1964,7,5.1,3.7
1964,8,14.2,6.5
1964,9,14.0,7.9
1964,10,14.2,10.0
1964,11,2.3,9.3
1964,12,-4.3,7.6
1965,1,-4.6,6.0
1965,2,1.2,3.8
1965,3,2.1,1.8
1965,4,-10.4,-2.3
1965,5,-0.4,-2.7
1965,6,-10.9,-3.8
1965,7,-21.0,-6.6
1965,8,-10.1,-8.5
1965,9,-13.5,-11.1
1965,10,-11.0,-11.2
1965,11,-16.7,-13.9
1965,12,0.3,-12.0
1966,1,-4.6,-9.3
1966,2,-4.7,-8.4
1966,3,-12.8,-8.3
1966,4,-6.0,-7.4
1966,5,-7.8,-5.9
1966,6,0.3,-5.9
1966,7,-0.4,-5.2
1966,8,4.5,-3.7
1966,9,-1.8,-1.9
1966,10,-2.2,-1.2
1966,11,0.4,0.1
1966,12,-4.8,-0.7
1967,1,14.1,1.7
1967,2,12.6,3.1
1967,3,6.5,4.4
1967,4,-3.8,4.2
1967,5,-2.6,3.7
1967,6,4.5,5.2
1967,7,0.8,3.0
1967,8,5.7,1.9
1967,9,5.8,1.7
1967,10,-0.3,2.3
1967,11,-4.6,2.0
1967,12,-6.8,0.1
1968,1,3.6,0.6
1968,2,9.1,1.1
1968,3,-3.6,-0.4
1968,4,-3.0,-0.9
1968,5,14.3,2.3
1968,6,10.0,5.1
1968,7,6.3,5.5
1968,8,0.3,4.1
1968,9,-2.4,4.3
1968,10,-1.6,4.5
1968,11,-3.4,1.5
1968,12,0.3,-0.1
1969,1,-14.2,-3.5
1969,2,-7.6,-4.8
1969,3,-0.7,-4.5
1969,4,-8.2,-5.6
1969,5,-5.6,-6.0
1969,6,-1.1,-6.2
1969,7,-6.4,-4.9
1969,8,-4.0,-4.3
1969,9,-10.0,-5.9
1969,10,-11.6,-6.5
1969,11,-0.2,-5.6
1969,12,2.3,-5.0
1970,1,-10.8,-5.7
1970,2,-12.1,-7.1
1970,3,0.7,-5.3
1970,4,-4.5,-4.1
1970,5,2.5,-3.7
1970,6,8.6,-2.6
1970,7,-5.2,-1.7
1970,8,3.9,1.0
1970,9,12.8,3.0
1970,10,11.0,5.6
1970,11,18.8,8.3
1970,12,16.1,9.6
1971,1,2.1,10.8
1971,2,15.5,12.7
1971,3,16.1,13.3
1971,4,19.6,14.7
1971,5,9.2,13.1
1971,6,1.7,10.7
1971,7,1.4,10.6
1971,8,14.2,10.4
1971,9,15.8,10.3
1971,10,18.6,10.2
1971,11,6.8,9.8
1971,12,0.8,9.6
1972,1,3.1,9.9
1972,2,7.2,8.7
1972,3,1.2,6.3
1972,4,-5.2,2.3
1972,5,-24.0,-2.8
1972,6,-10.9,-4.8
1972,7,-17.3,-8.2
1972,8,-8.2,-10.7
1972,9,-14.1,-13.3
1972,10,-11.0,-14.3
1972,11,-3.4,-10.8
1972,12,-13.4,-11.2
1973,1,-3.6,-9.0
1973,2,-15.0,-10.1
1973,3,-0.3,-7.8
1973,4,-2.3,-6.3
1973,5,3.3,-5.2
1973,6,10.0,-1.3
1973,7,5.7,0.2
1973,8,11.8,4.7
1973,9,13.4,7.0
1973,10,10.4,9.1
1973,11,31.5,13.8
1973,12,15.6,14.7
1974,1,20.3,17.2
1974,2,16.0,17.9
1974,3,17.0,18.5
1974,4,9.4,18.3
1974,5,10.6,14.8
1974,6,1.7,12.5
1974,7,11.1,11.0
1974,8,6.3,9.4
1974,9,12.2,8.6
1974,10,9.2,8.5
1974,11,-1.5,6.5
1974,12,0.3,6.3
1975,1,-6.0,3.4
1975,2,4.7,3.2
1975,3,9.4,2.7
1975,4,12.3,3.2
1975,5,6.2,4.5
1975,6,12.8,6.6
1975,7,19.6,10.8
1975,8,19.7,13.3
1975,9,22.2,15.5
1975,10,18.6,16.5
1975,11,13.1,17.7
1975,12,17.6,18.5
1976,1,11.2,17.1
1976,2,12.6,15.9
1976,3,10.8,14.0
1976,4,0.6,11.0
1976,5,2.5,9.2
1976,6,0.3,6.3
1976,7,-11.9,2.5
1976,8,-11.3,-1.5
1976,9,-12.4,-5.4
1976,10,3.5,-4.9
1976,11,9.3,-3.8
1976,12,-20.0,-7.1
1977,1,-4.1,-5.8
1977,2,8.6,-2.5
1977,3,-9.4,-2.0
1977,4,-8.2,-4.0
1977,5,-9.3,-7.1
1977,6,-15.8,-6.4
1977,7,-13.7,-8.0
1977,8,-11.3,-11.3
1977,9,-8.8,-11.2
1977,10,-12.9,-12.0
1977,11,-14.2,-12.8
1977,12,-11.4,-12.1
1978,1,-3.6,-10.4
1978,2,-26.9,-13.0
1978,3,-6.0,-12.5
1978,4,-7.4,-11.6
1978,5,15.8,-6.6
1978,6,4.5,-3.9
1978,7,5.1,-2.5
1978,8,2.1,2.4
1978,9,1.1,3.5
1978,10,-5.3,3.9
1978,11,-2.1,0.9
1978,12,-2.2,-0.2
1979,1,-4.6,-1.8
1979,2,6.2,-1.2
1979,3,-3.6,-1.9
