YEAR,Month,NINO3.4
2007,11,25.4
2007,12,25.47
2008,1,24.97
2008,2,25.25
2008,3,26.3
2008,4,26.95
2008,5,27.19
2008,6,27.07
2008,7,27.03
2008,8,26.83
2008,9,26.52
2008,10,26.57
2008,11,26.47
2008,12,25.83
2009,1,25.76
2009,2,26.13
2009,3,26.61
2009,4,27.65
2009,5,28.06
2009,6,28.13
2009,7,27.83
2009,8,27.59
2009,9,27.48
2009,10,27.69
2009,11,28.25
2009,12,28.33
2010,1,28.1
2010,2,27.92
2010,3,28.34
2010,4,28.4
2010,5,27.77
2010,6,27.16
2010,7,26.38
2010,8,25.69
2010,9,25.46
2010,10,25.36
2010,11,25.38
2010,12,25.44
2011,1,25.09
2011,2,25.55
2011,3,26.4
2011,4,27.05
2011,5,27.49
2011,6,27.4
2011,7,27.11
2011,8,26.48
2011,9,26.09
2011,10,26.06
2011,11,25.85
2011,12,25.66
2012,1,25.91
2012,2,26.18
2012,3,26.79
2012,4,27.29
2012,5,27.69
2012,6,27.95
2012,7,27.57
2012,8,27.58
2012,9,27.2
2012,10,27.13
2012,11,27.32
2012,12,26.18
2013,1,26.09
2013,2,26.25
2013,3,27.02
2013,4,27.92
2013,5,27.58
2013,6,27.37
2013,7,27.04
2013,8,26.43
2013,9,26.82
2013,10,26.62
2013,11,26.73
2013,12,26.47
2014,1,26.07
2014,2,25.89
2014,3,26.89
2014,4,27.99
2014,5,28.33
2014,6,28.18
2014,7,27.27
2014,8,26.89
2014,9,27.07
2014,10,27.2
2014,11,27.57
2014,12,27.28
2015,1,27.07
2015,2,27.48
2015,3,27.68
2015,4,28.63
2015,5,28.71
2015,6,28.73
2015,7,28.56
2015,8,28.55
2015,9,28.55
2015,10,28.98
2015,11,29.54
2015,12,29.03
2016,1,29.04
2016,2,28.97
2016,3,28.85
2016,4,28.79
2016,5,28.15
2016,6,27.73
2016,7,26.88
2016,8,26.41
2016,9,26.34
2016,10,26.07
2016,11,26.18
2016,12,26.31
2017,1,26.3
2017,2,26.83
2017,3,27.44
2017,4,28.17
2017,5,28.3
2017,6,28.1
2017,7,27.58
2017,8,26.85
2017,9,26.44
2017,10,26.4
2017,11,25.91
2017,12,25.72
2018,1,25.87
2018,2,26.06
2018,3,26.5
2018,4,27.31
2018,5,27.77
2018,6,27.86
2018,7,27.52
2018,8,27.18
2018,9,27.1
2018,10,27.63
2018,11,27.69
2018,12,27.54
2019,1,27.24
2019,2,27.44
2019,3,28.21
2019,4,28.53
2019,5,28.63
2019,6,28.31
2019,7,27.72
2019,8,27.05
2019,9,26.75
2019,10,27.28
2019,11,27.28
2019,12,27.08
2020,1,27.08
2020,2,27.09
2020,3,27.7
2020,4,28.22
2020,5,27.67
2020,6,27.44
2020,7,27.15
2020,8,26.38
2020,9,26.12
2020,10,25.64
2020,11,25.59
2020,12,25.66
2021,1,25.67
2021,2,25.87
